"Category";"Penderita Perempuan";"Penderita Laki-laki";"Kasus Meninggal Laki - laki";"Kasus Meninggal Perempuan"
"Bulusan";0;1;0;0
"Purwoyoso";0;1;0;0
"Sekaran";0;1;0;0
"Pudakpayung";0;1;0;0
"Ngesrep";0;2;0;0
"Rowosari";0;1;0;0
"Kedungmundu";0;4;0;0
"Tlogosari Kulon";0;2;2;0
"Pegandan";0;2;0;0
"Kagok";2;0;0;0
"Candilama";0;3;1;0
"Gayamsari";0;3;0;0
"Lebdosari";0;2;0;0
"Lamper Tengah";1;1;0;0
"Pandanaran";1;0;0;1
"Karangdoro";0;1;0;0
"Bugangan";1;0;0;0
"Halmahera";1;0;0;1
"Bulu Lor";1;0;0;0
"Bandarharjo";0;2;1;0
