"Category";"Penderita Perempuan";"Penderita Laki-laki";"Kasus Meninggal Laki - laki";"Kasus Meninggal Perempuan"
"Ngaliyan";1;1;1;0
"Purwoyoso";0;3;0;0
"Mijen";2;1;0;0
"Pudakpayung";0;1;1;0
"Srondol";1;1;0;1
"Padangsari";1;1;0;0
"Ngesrep";0;1;0;0
"Kedungmundu";3;3;0;1
"Tlogosari Wetan";1;0;0;0
"Tlogosari Kulon";1;3;0;0
"Genuk";1;2;0;1
"Pegandan";0;1;0;0
"Kagok";6;4;0;0
"Gayamsari";1;0;0;0
"Ngemplak Simongan";1;1;0;0
"Krobokan";0;1;1;0
"Manyaran";1;2;0;0
"Lebdosari";1;1;0;1
"Lamper Tengah";1;1;0;0
"Bugangan";0;1;0;0
"Bulu Lor";0;1;0;0
"Bandarharjo";0;2;0;0
"Poncol";1;3;1;0
